Box Size,Box Length cm,Speed Demand,Accuracy
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,0.750
3,2.85,0.7,0.750
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,0.750
3,2.85,0.7,1.000
3,2.85,0.7,0.250
3,2.85,0.7,0.750
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.7,1.000
3,2.85,0.8,0.8
3,2.85,0.8,1
3,2.85,0.8,0.8
3,2.85,0.8,0.8
3,2.85,0.8,0.8
3,2.85,0.8,0.6
3,2.85,0.8,1
3,2.85,0.8,1
3,2.85,0.8,1.2
3,2.85,0.8,0.8
3,2.85,0.8,1
3,2.85,0.8,1
3,2.85,0.8,0
3,2.85,0.8,0.8
3,2.85,0.8,1.2
3,2.85,0.8,1
3,2.85,0.8,0.4
3,2.85,0.8,0.8
3,2.85,0.8,1.2
3,2.85,0.8,1.2
3,2.85,0.9,0.833333333
3,2.85,0.9,0.5
3,2.85,0.9,0.833333333
3,2.85,0.9,0.833333333
3,2.85,0.9,1
3,2.85,0.9,0.833333333
3,2.85,0.9,0.5
3,2.85,0.9,0.166666667
3,2.85,0.9,0.833333333
3,2.85,0.9,0.333333333
3,2.85,0.9,0.166666667
3,2.85,0.9,0.5
3,2.85,0.9,0.833333333
3,2.85,0.9,0.5
3,2.85,0.9,0.333333333
3,2.85,0.9,0.5
3,2.85,0.9,0.5
3,2.85,0.9,0.833333333
3,2.85,0.9,0.833333333
3,2.85,0.9,0.5
3,2.85,1,0.333
3,2.85,1,0.667
3,2.85,1,0.000
3,2.85,1,0.500
3,2.85,1,0.167
3,2.85,1,0.500
3,2.85,1,0.667
3,2.85,1,1.000
3,2.85,1,1.000
3,2.85,1,0.667
3,2.85,1,0.833
3,2.85,1,1.000
3,2.85,1,1.000
3,2.85,1,0.667
3,2.85,1,0.167
3,2.85,1,0.500
3,2.85,1,0.833
3,2.85,1,0.500
3,2.85,1,0.167
3,2.85,1,0.500
3,2.85,1.1,0.857142857
3,2.85,1.1,0
3,2.85,1.1,0.142857143
3,2.85,1.1,0.285714286
3,2.85,1.1,0.285714286
3,2.85,1.1,0.571428571
3,2.85,1.1,0.857142857
3,2.85,1.1,0.714285714
3,2.85,1.1,0.285714286
3,2.85,1.1,0.857142857
3,2.85,1.1,0.714285714
3,2.85,1.1,0.857142857
3,2.85,1.1,0
3,2.85,1.1,0.571428571
3,2.85,1.1,0.142857143
3,2.85,1.1,0.857142857
3,2.85,1.1,0.857142857
3,2.85,1.1,0.571428571
3,2.85,1.1,0.142857143
3,2.85,1.1,0.857142857
3,2.85,1.2,0.571428571
3,2.85,1.2,1
3,2.85,1.2,0.142857143
3,2.85,1.2,0.571428571
3,2.85,1.2,0.857142857
3,2.85,1.2,0.571428571
3,2.85,1.2,1
3,2.85,1.2,0.857142857
3,2.85,1.2,1
3,2.85,1.2,1
3,2.85,1.2,0.571428571
3,2.85,1.2,0.285714286
3,2.85,1.2,1
3,2.85,1.2,1
3,2.85,1.2,1
3,2.85,1.2,0.428571429
3,2.85,1.2,0.428571429
3,2.85,1.2,0.142857143
3,2.85,1.2,0.428571429
3,2.85,1.2,0.857142857
3,2.85,1.3,0.875
3,2.85,1.3,0.5
3,2.85,1.3,0.75
3,2.85,1.3,0.5
3,2.85,1.3,0.125
3,2.85,1.3,0.375
3,2.85,1.3,0.125
3,2.85,1.3,0.875
3,2.85,1.3,0.625
3,2.85,1.3,0.75
3,2.85,1.3,0.375
3,2.85,1.3,0.375
3,2.85,1.3,0.25
3,2.85,1.3,0.25
3,2.85,1.3,0.25
3,2.85,1.3,0.875
3,2.85,1.3,0.875
3,2.85,1.3,0.125
3,2.85,1.3,0.5
3,2.85,1.3,0.75
